peptide,1,2,3,4,5
SG-CHH-pyro-Q-reduced,136.08,68.54,46.03,34.77,28.02
SG-CHH-pyro-Q-reduced,180.1,90.55,60.71,45.78,36.83
SG-CHH-pyro-Q-reduced,197.13,99.07,66.38,50.04,40.23
SG-CHH-pyro-Q-reduced,208.1,104.55,70.04,52.78,42.43
SG-CHH-reduced,214.16,107.58,72.06,54.29,43.64
PO-CHH-reduced,215.11,108.06,72.38,54.53,43.83
SG-CHH-pyro-Q-reduced,216.17,108.59,72.73,54.8,44.04
SG-CHH-pyro-Q-reduced,225.12,113.07,75.71,57.04,45.83
PO-CHH-reduced,232.14,116.57,78.05,58.79,47.23
SG-CHH-reduced,242.15,121.58,81.39,61.29,49.24
SG-CHH-pyro-Q-reduced,327.2,164.11,109.74,82.56,66.25
PO-CHH-reduced,328.2,164.6,110.07,82.81,66.45
SG-CHH-pyro-Q-reduced,343.17,172.09,115.06,86.55,69.44
SG-CHH-pyro-Q-reduced,344.23,172.62,115.41,86.81,69.65
PO-CHH-reduced,345.22,173.12,115.75,87.06,69.85
SG-CHH-pyro-Q-reduced,360.19,180.6,120.74,90.8,72.84
SG-CHH-pyro-Q-reduced,371.16,186.08,124.39,93.55,75.04
SG-CHH-reduced,377.22,189.11,126.41,95.06,76.25
SG-CHH-pyro-Q-reduced,388.19,194.6,130.07,97.8,78.44
PO-CHH-reduced,399.24,200.12,133.75,100.56,80.65
SG-CHH-reduced,405.21,203.11,135.74,102.06,81.85
PO-CHH-reduced,416.26,208.63,139.43,104.82,84.06
SG-CHH-pyro-Q-reduced,440.29,220.65,147.43,110.83,88.86
SG-CHH-pyro-Q-reduced,457.31,229.16,153.11,115.08,92.27
SG-CHH-pyro-Q-reduced,458.19,229.6,153.4,115.3,92.44
SG-CHH-pyro-Q-reduced,475.22,238.11,159.08,119.56,95.85
SG-CHH-pyro-Q-reduced,485.2,243.11,162.41,122.06,97.85
SG-CHH-pyro-Q-reduced,486.19,243.6,162.73,122.3,98.04
SG-CHH-reduced,492.25,246.63,164.75,123.82,99.26
SG-CHH-reduced,502.23,251.62,168.08,126.31,101.25
SG-CHH-pyro-Q-reduced,503.21,252.11,168.41,126.56,101.45
PO-CHH-reduced,513.28,257.14,171.76,129.08,103.46
PO-CHH-reduced,514.26,257.63,172.09,129.32,103.66
SG-CHH-reduced,520.24,260.62,174.09,130.82,104.85
PO-CHH-reduced,531.29,266.15,177.77,133.58,107.06
SG-CHH-pyro-Q-reduced,545.22,273.12,182.41,137.06,109.85
SG-CHH-pyro-Q-reduced,562.25,281.63,188.09,141.32,113.26
SG-CHH-pyro-Q-reduced,568.38,284.69,190.13,142.85,114.48
SG-CHH-pyro-Q-reduced,572.24,286.62,191.42,143.81,115.25
SG-CHH-pyro-Q-reduced,573.22,287.11,191.74,144.06,115.45
SG-CHH-reduced,579.28,290.14,193.76,145.58,116.66
SG-CHH-pyro-Q-reduced,585.41,293.21,195.81,147.11,117.89
SG-CHH-reduced,589.26,295.13,197.09,148.07,118.66
SG-CHH-pyro-Q-reduced,590.25,295.63,197.42,148.32,118.86
SG-CHH-reduced,607.27,304.14,203.1,152.57,122.26
SG-CHH-pyro-Q-reduced,632.26,316.63,211.42,158.82,127.26
SG-CHH-pyro-Q-reduced,649.28,325.15,217.1,163.08,130.66
